,importance
rot_speed_rpm_m10,0.038692223015335835
rot_speed_rpm_m30,0.03440334012942292
vib_per_rpm,0.03409801610203071
wear_torque,0.030417998597442816
torque_nm_m10,0.029453931850356576
power_w_m10,0.028978683745152615
wear_torque_m10,0.028165945782578448
torque_nm_m30,0.025088309037871473
tool_wear_min,0.024124144900140837
current_a_m10,0.021904979116472767
torque_nm_m60,0.02019720211895573
rot_speed_rpm_m60,0.019662207790287375
temp_diff_k_m10,0.018423746361265383
air_temp_k_m10,0.01826634780790692
current_a_m30,0.017783765395811828
tool_wear_min_m10,0.017103775771614947
wear_torque_m30,0.016069267583010766
power_w_m30,0.01577489345774266
process_temp_k_m60,0.015662865774029693
air_temp_k_m30,0.014484598285191696
air_temp_k,0.014068484248003553
process_temp_k_m30,0.013128840596715024
vibration_mms_m60,0.013111693811553292
temp_diff_k_m30,0.012983942927879575
air_temp_k_m60,0.01284999335335868
rot_speed_rpm,0.012817440176741277
tool_wear_min_m30,0.012774648747089282
vibration_mms_m10,0.01253295113152082
vibration_mms_s60,0.012316841452850311
tool_wear_min_s60,0.012157764607536887
