,importance
vib_per_rpm,0.109861
torque_nm_m10,0.08201208
rot_speed_rpm_m10,0.07645394
wear_torque,0.057993867
torque_nm_m30,0.040090326
power_w_m10,0.039699867
tool_wear_min,0.029084178
rot_speed_rpm_m30,0.025708206
temp_diff_k,0.025184447
temp_diff_k_m10,0.019989075
current_a_m30,0.019611051
tool_wear_min_m10,0.01721094
air_temp_k_m10,0.016879657
process_temp_k_m60,0.01498033
wear_torque_m60,0.01424531
air_temp_k,0.013874035
vibration_mms_m10,0.01171555
rot_speed_rpm,0.011167525
wear_torque_m30,0.010348111
vibration_mms_m30,0.009958731
process_temp_k_s60,0.009920247
wear_torque_m10,0.009474303
air_temp_k_m30,0.009339705
vibration_mms_m60,0.008956229
temp_diff_k_s60,0.008898181
temp_diff_k_m60,0.008702287
wear_torque_s30,0.008593659
vibration_mms_s60,0.008417718
tool_wear_min_s30,0.008217012
process_temp_k_m30,0.0077910195
