threshold,validation_cost
0.01,2351100000
0.015,2311000000
0.02,2170500000
0.025,2071800000
0.03,2000100000
0.035,1914400000
0.04,1940600000
0.045000000000000005,1937500000
0.05,1864000000
0.055,1807500000
0.060000000000000005,1768300000
0.065,1731300000
0.06999999999999999,1736100000
0.075,1726200000
0.08,1746000000
0.08499999999999999,1834300000
0.09,1876400000
0.095,1895800000
0.09999999999999999,1889100000
0.105,1910900000
0.11,1945800000
0.11499999999999999,1984300000
0.12,2011600000
0.125,2076900000
0.13,2121200000
0.135,2218800000
0.14,2304900000
0.14500000000000002,2350400000
0.15000000000000002,2427000000
0.155,2473400000
0.16,2548500000
0.165,2600800000
0.17,2695500000
0.17500000000000002,2743400000
0.18000000000000002,2829200000
0.18500000000000003,2876500000
0.19,2928500000
0.195,3001600000
0.2,3059000000
0.20500000000000002,3092700000
0.21000000000000002,3136500000
0.21500000000000002,3146500000
0.22,3243000000
0.225,3266300000
0.23,3315400000
0.23500000000000001,3390000000
0.24000000000000002,3441500000
0.24500000000000002,3493000000
0.25,3546300000
0.255,3620900000
0.26,3689600000
0.265,3725100000
0.27,3799700000
0.275,3866300000
0.28,3895300000
0.28500000000000003,3940300000
0.29000000000000004,3977300000
0.29500000000000004,4013100000
0.3,4073500000
0.305,4110500000
0.31,4164100000
0.315,4176800000
0.32,4230700000
0.325,4286100000
0.33,4339400000
0.335,4392700000
0.34,4437100000
0.34500000000000003,4474700000
0.35000000000000003,4495100000
0.35500000000000004,4549300000
0.36000000000000004,4578900000
0.365,4615600000
0.37,4668300000
0.375,4706500000
0.38,4759500000
0.385,4789100000
0.39,4826700000
0.395,4887700000
0.4,4925600000
0.405,5026600000
0.41000000000000003,5094700000
0.41500000000000004,5148900000
0.42000000000000004,5217900000
0.42500000000000004,5281000000
0.43,5366600000
0.435,5389400000
0.44,5452500000
0.445,5538400000
0.45,5624300000
0.455,5734800000
0.46,5804700000
0.465,5923200000
0.47000000000000003,6018300000
0.47500000000000003,6129100000
0.48000000000000004,6232500000
0.48500000000000004,6309800000
0.49,6380600000
0.495,6490200000
0.5,6616400000
0.505,6726900000
0.51,6853400000
0.515,6899900000
0.52,7049200000
0.525,7192300000
0.53,7351100000
0.535,7493600000
0.54,7604400000
0.545,7731800000
0.55,7858900000
0.555,7961100000
0.56,8167900000
0.5650000000000001,8230400000
0.5700000000000001,8325500000
0.5750000000000001,8452000000
0.5800000000000001,8587400000
0.5850000000000001,8730200000
0.59,8865600000
0.595,8920700000
0.6,9039800000
0.605,9191200000
0.61,9310900000
0.615,9422600000
0.62,9510600000
0.625,9606300000
0.63,9741700000
0.635,9852500000
0.64,9987600000
0.645,10105200000
0.65,10296000000
0.655,10406500000
0.66,10525600000
0.665,10586900000
0.67,10673700000
0.675,10840200000
0.68,10983900000
0.685,11206700000
0.6900000000000001,11485800000
0.6950000000000001,11650500000
0.7000000000000001,11888700000
0.7050000000000001,12175500000
0.7100000000000001,12390900000
0.715,12701700000
0.72,12875000000
0.725,13065200000
0.73,13368000000
0.735,13630500000
0.74,13893600000
0.745,14228100000
0.75,14546600000
0.755,14920800000
0.76,15248500000
0.765,15503600000
0.77,15710700000
0.775,15845200000
0.78,15973200000
0.785,16203700000
0.79,16458800000
0.795,16665300000
0.8,16832100000
0.805,17031500000
0.81,17182600000
0.8150000000000001,17342300000
0.8200000000000001,17549100000
0.8250000000000001,17669100000
0.8300000000000001,17860800000
0.8350000000000001,18004500000
0.8400000000000001,18115900000
0.845,18267600000
0.85,18427000000
0.855,18522700000
0.86,18722700000
0.865,18842400000
0.87,19008900000
0.875,19088900000
0.88,19184600000
0.885,19320600000
0.89,19464600000
0.895,19672600000
0.9,19840600000
0.905,20016600000
0.91,20216300000
0.915,20376300000
0.92,20560000000
0.925,20672000000
0.93,20768000000
0.935,20928000000
0.9400000000000001,21016000000
0.9450000000000001,21136000000
0.9500000000000001,21232000000
0.9550000000000001,21320000000
0.9600000000000001,21504000000
0.9650000000000001,21528000000
0.97,21552000000
0.975,21568000000
0.98,21568000000
0.985,21568000000
0.99,21568000000
